experiment_id,clip_name,freeze_backbone,learning_rate,weight_decay,batch_size,dropout,hidden_size,scheduler_type,epochs,best_epoch,train_loss,train_bal_acc,val_loss,val_bal_acc
1,ViT-B/32,TRUE,0.001,0.0001,8,0.5,128,onecycle,20,6,"[1.3724979747833828, 0.9654155761043605, 0.8452866898892224, 0.7957939417333333, 0.7350277988939555, 0.7077275773718411, 0.666393271485697, 0.6280147143079327, 0.596697136458927]","[0.40662853297442797, 0.6024562584118439, 0.6470390309555855, 0.6749663526244953, 0.7023889636608345, 0.7139973082099597, 0.721736204576043, 0.7468034993270525, 0.7627860026917901]","[0.8806620661482633, 0.7156142637168414, 0.7145673686151053, 0.68571384921757, 0.691808884654403, 0.6573853027793605, 0.6642206963249613, 0.6749310982848787, 0.7310830676551717]","[0.639766081871345, 0.704093567251462, 0.7134502923976608, 0.7099415204678362, 0.7169590643274854, 0.7298245614035088, 0.7263157894736842, 0.7263157894736842, 0.7076023391812866]"
2,ViT-L/14,TRUE,0.001,5.00E-05,4,0.1,128,onecycle,20,3,"[1.2533955099123804, 0.9804987318583164, 0.8650329501279109, 0.7600515470771096, 0.7416178820351412, 0.6759640341210975]","[0.4767833109017497, 0.6007738896366084, 0.6657133243606999, 0.7045760430686406, 0.7299798115746972, 0.7523553162853297]","[0.8815073760348224, 0.7966987980985535, 0.6345680535784008, 0.6585758551781145, 0.6866961994869896, 0.7018663585925841]","[0.6432748538011696, 0.6339181286549708, 0.7473684210526316, 0.7403508771929824, 0.7157894736842105, 0.7157894736842105]"
3,RN50,TRUE,0.001,5.00E-05,6,0.3,256,onecycle,20,5,"[1.6391201446754764, 1.5540859035169234, 1.4340131958325704, 1.3713878578007823, 1.31928321327826, 1.2918878926773263, 1.2604271956164428, 1.2180425483470012]","[0.24276094276094276, 0.3069023569023569, 0.3728956228956229, 0.40959595959595957, 0.4468013468013468, 0.4612794612794613, 0.4740740740740741, 0.5013468013468013]","[1.5652497727554162, 1.4938630492953988, 1.3839620323656323, 1.4658883276519241, 1.4136029791373472, 1.3895080890897271, 1.4214203701569483, 1.4370411763658058]","[0.2982456140350877, 0.3368421052631579, 0.4105263157894737, 0.3730994152046784, 0.4128654970760234, 0.4128654970760234, 0.4, 0.39766081871345027]"
