experiment_id,clip_name,freeze_backbone,learning_rate,weight_decay,batch_size,dropout,hidden_size,scheduler_type,epochs,best_epoch,train_loss,train_macro_f1,train_bal_acc,train_recall,val_loss,val_macro_f1,val_bal_acc,val_recall
31,ViT-B/32,TRUE,0.001,0.0001,8,0.3,512,none,10,10,0.388612881,0.852945201,0.853110584,0.853110584,0.92784303,0.702646597,0.707602339,0.707602339
32,ViT-B/32,TRUE,0.001,0.0001,8,0.3,512,onecycle,10,10,0.273197469,0.896448155,0.896550167,0.896550167,0.858678458,0.709577516,0.712280702,0.712280702
33,ViT-B/32,TRUE,0.001,0.0001,8,0.3,512,cosine,10,10,0.270590076,0.898776977,0.898905228,0.898905228,0.991119196,0.701330689,0.704093567,0.704093567
34,ViT-B/32,TRUE,0.001,5.00E-05,8,0.3,512,none,10,10,0.398656247,0.850453771,0.850754673,0.850754673,0.875888289,0.720261717,0.725146199,0.725146199
35,ViT-B/32,TRUE,0.001,5.00E-05,8,0.3,512,onecycle,10,10,0.284072381,0.895664846,0.895691991,0.895691991,0.888163432,0.713261666,0.718128655,0.718128655
36,ViT-B/32,TRUE,0.001,5.00E-05,8,0.3,512,cosine,10,10,0.273077068,0.892495896,0.89248102,0.89248102,0.988310438,0.692537256,0.699415205,0.699415205
37,ViT-B/32,TRUE,0.001,0.0001,8,0.5,128,none,10,10,0.588266232,0.760226962,0.762598369,0.762598369,0.676836932,0.717012399,0.721637427,0.721637427
38,ViT-B/32,TRUE,0.001,0.0001,8,0.5,128,onecycle,10,10,0.547836328,0.777783669,0.780430603,0.780430603,0.671050674,0.726569706,0.732163743,0.732163743
39,ViT-B/32,TRUE,0.001,0.0001,8,0.5,128,cosine,10,10,0.526103035,0.794443905,0.795395219,0.795395219,0.676735996,0.724149347,0.72748538,0.72748538
40,ViT-B/32,TRUE,0.001,5.00E-05,8,0.5,128,none,10,10,0.58168026,0.764568232,0.765667468,0.765667468,0.714051404,0.71305013,0.721637427,0.721637427
41,ViT-B/32,TRUE,0.001,5.00E-05,8,0.5,128,onecycle,10,10,0.566020429,0.781079777,0.782786939,0.782786939,0.688721079,0.718045424,0.722807018,0.722807018
42,ViT-B/32,TRUE,0.001,5.00E-05,8,0.5,128,cosine,10,10,0.538009068,0.788228995,0.789867274,0.789867274,0.723427548,0.711035769,0.715789474,0.715789474
43,ViT-B/32,TRUE,0.001,0.0001,8,0.5,256,none,10,10,0.541173547,0.786660673,0.788388794,0.788388794,0.726921932,0.718672771,0.722807018,0.722807018
44,ViT-B/32,TRUE,0.001,0.0001,8,0.5,256,onecycle,10,10,0.444775877,0.819287955,0.819845497,0.819845497,0.693935835,0.720164743,0.719298246,0.719298246
45,ViT-B/32,TRUE,0.001,0.0001,8,0.5,256,cosine,10,10,0.464527228,0.815328559,0.815800279,0.815800279,0.73147269,0.711195119,0.719298246,0.719298246
46,ViT-B/32,TRUE,0.001,5.00E-05,8,0.5,256,none,10,10,0.549126679,0.785829886,0.786669329,0.786669329,0.706813601,0.71485436,0.712280702,0.712280702
47,ViT-B/32,TRUE,0.001,5.00E-05,8,0.5,256,onecycle,10,10,0.458548951,0.818001324,0.818836246,0.818836246,0.711713134,0.713779155,0.721637427,0.721637427
48,ViT-B/32,TRUE,0.001,5.00E-05,8,0.5,256,cosine,10,10,0.463553077,0.818837604,0.819341155,0.819341155,0.760185898,0.713078883,0.715789474,0.715789474
49,ViT-B/32,TRUE,0.001,0.0001,8,0.5,512,none,10,10,0.523722858,0.797950833,0.798471114,0.798471114,0.751188169,0.699670949,0.699415205,0.699415205
50,ViT-B/32,TRUE,0.001,0.0001,8,0.5,512,onecycle,10,10,0.406410404,0.840621684,0.841336125,0.841336125,0.781113535,0.698700146,0.704093567,0.704093567
51,ViT-B/32,TRUE,0.001,0.0001,8,0.5,512,cosine,10,10,0.405963902,0.850401337,0.850762461,0.850762461,0.867920632,0.701066759,0.702923977,0.702923977
52,ViT-B/32,TRUE,0.001,5.00E-05,8,0.5,512,none,10,10,0.527037993,0.791530306,0.792425517,0.792425517,0.795202456,0.706099462,0.714619883,0.714619883
53,ViT-B/32,TRUE,0.001,5.00E-05,8,0.5,512,onecycle,10,10,0.405246363,0.84327394,0.843724886,0.843724886,0.758445371,0.706530642,0.70877193,0.70877193
54,ViT-B/32,TRUE,0.001,5.00E-05,8,0.5,512,cosine,10,10,0.392409831,0.852863326,0.852983295,0.852983295,0.808218866,0.705219156,0.706432749,0.706432749
55,ViT-B/32,TRUE,0.001,0.0001,16,0.1,128,none,10,10,0.185994039,0.927540158,0.927577252,0.927577252,1.066454749,0.678404282,0.683040936,0.683040936
56,ViT-B/32,TRUE,0.001,0.0001,16,0.1,128,onecycle,10,10,0.120783824,0.95969503,0.959726925,0.959726925,1.109761868,0.701070911,0.706432749,0.706432749
57,ViT-B/32,TRUE,0.001,0.0001,16,0.1,128,cosine,10,10,0.114904273,0.957709286,0.957698277,0.957698277,1.312467138,0.706566367,0.712280702,0.712280702
58,ViT-B/32,TRUE,0.001,5.00E-05,16,0.1,128,none,10,10,0.199153219,0.924172267,0.924227065,0.924227065,1.102754148,0.704700148,0.713450292,0.713450292
59,ViT-B/32,TRUE,0.001,5.00E-05,16,0.1,128,onecycle,10,10,0.119973071,0.956517022,0.95652078,0.95652078,1.113993754,0.70597718,0.711111111,0.711111111
60,ViT-B/32,TRUE,0.001,5.00E-05,16,0.1,128,cosine,10,10,0.110273138,0.96006327,0.960078421,0.960078421,1.076695821,0.708134139,0.712280702,0.712280702
